Building_Type,Measure,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Healthcare,CO2,74.14,69.93,64.83,59.84,55.01,50.53,45.85,41.55,37.45,33.54,29.69,26.42,23.2,20.16,17.28,14.57,12,9.61,7.57,5.92,4.59,3.86,3.3,2.81,2.38,1.98,1.69,1.42,1.17,0.94,0.72
Hotel,CO2,56.13,52.95,49.09,45.32,41.66,38.28,34.74,31.49,28.38,25.42,22.51,20.04,17.61,15.3,13.13,11.08,9.14,7.33,5.78,4.54,3.53,2.98,2.56,2.19,1.86,1.56,1.34,1.13,0.94,0.77,0.6
Industrial_Distribution_Warehouse,CO2,13.61,12.84,11.9,10.99,10.1,9.28,8.42,7.64,6.88,6.17,5.46,4.86,4.27,3.71,3.19,2.69,2.22,1.78,1.41,1.11,0.86,0.73,0.63,0.54,0.46,0.38,0.33,0.28,0.23,0.19,0.15
Industrial_Distribution_Warehouse_Cold,CO2,29.82,27.79,25.45,23.22,21.09,19.15,17.17,15.38,13.7,12.12,10.61,9.33,8.09,6.94,5.87,4.88,3.96,3.12,2.4,1.84,1.38,1.13,0.94,0.77,0.63,0.5,0.4,0.31,0.23,0.16,0.09
Lodges_Leisure_Recreation,CO2,47.15,44.49,41.25,38.1,35.04,32.2,29.23,26.51,23.91,21.43,18.99,16.93,14.88,12.95,11.13,9.42,7.79,6.28,4.98,3.93,3.09,2.63,2.28,1.97,1.7,1.44,1.26,1.08,0.92,0.78,0.64
Office,CO2,48.07,45.35,42.04,38.82,35.69,32.79,29.76,26.98,24.32,21.79,19.3,17.18,15.1,13.12,11.26,9.51,7.85,6.3,4.97,3.91,3.05,2.57,2.21,1.89,1.62,1.36,1.17,0.99,0.83,0.68,0.54
Residential_Multi_Family,CO2,27.3,25.52,23.45,21.46,19.56,17.82,16.04,14.43,12.9,11.47,10.08,8.91,7.77,6.71,5.72,4.8,3.94,3.15,2.48,1.95,1.52,1.28,1.1,0.94,0.81,0.68,0.59,0.5,0.43,0.36,0.29
Residential_Single_Family,CO2,32.31,30.13,27.62,25.21,22.92,20.83,18.71,16.78,14.97,13.27,11.64,10.26,8.93,7.69,6.54,5.48,4.48,3.58,2.81,2.2,1.71,1.44,1.23,1.05,0.9,0.76,0.65,0.56,0.47,0.39,0.32
Retail_High_Street,CO2,57.05,53.81,49.9,46.08,42.37,38.93,35.34,32.04,28.89,25.88,22.93,20.43,17.95,15.62,13.41,11.33,9.36,7.52,5.95,4.69,3.67,3.1,2.68,2.3,1.98,1.67,1.45,1.23,1.04,0.87,0.7
Retail_Shopping_Centre,CO2,48.3,45.57,42.25,39.02,35.88,32.97,29.93,27.14,24.47,21.93,19.43,17.31,15.22,13.24,11.37,9.62,7.95,6.4,5.07,4,3.13,2.66,2.3,1.98,1.7,1.44,1.25,1.07,0.91,0.76,0.62
Retail_Warehouse,CO2,36.47,34.4,31.9,29.46,27.09,24.89,22.6,20.49,18.48,16.56,14.68,13.08,11.5,10,8.59,7.26,6,4.83,3.83,3.02,2.37,2.01,1.74,1.5,1.29,1.09,0.95,0.81,0.69,0.58,0.47
Healthcare,kWh,,335.28,314.01,294.08,275.42,257.94,241.58,226.25,211.89,198.44,185.85,174.06,163.01,152.67,142.98,133.91,125.41,117.45,110,110,110,110,110,110,110,110,110,110,110,110,110
Hotel,kWh,,248.6,234.09,220.43,207.57,195.46,184.05,173.31,163.2,153.68,144.71,136.27,128.31,120.83,113.78,107.14,100.89,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Industrial_Distribution_Warehouse,kWh,,60.35,56.9,53.66,50.6,47.71,44.99,42.42,40,37.72,35.57,33.54,31.62,29.82,28.12,26.51,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Industrial_Distribution_Warehouse_Cold,kWh,,133.22,126.57,120.24,114.23,108.53,103.1,97.95,93.06,88.41,83.99,79.79,75.81,72.02,68.42,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Lodges_Leisure_Recreation,kWh,,217.73,206.72,196.27,186.35,176.93,167.99,159.5,151.43,143.78,136.51,129.61,123.06,116.84,110.93,105.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Office,kWh,,213,200.34,188.44,177.25,166.72,156.82,147.5,138.74,130.5,122.74,115.45,108.59,102.14,96.08,90.37,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Residential_Multi_Family,kWh,,136.25,127.07,118.5,110.51,103.07,96.12,89.64,83.6,77.96,72.71,67.81,63.24,58.98,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Residential_Single_Family,kWh,,160.36,148.68,137.85,127.81,118.5,109.87,101.87,94.45,87.57,81.19,75.28,69.8,64.71,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Retail_High_Street,kWh,,256.15,242.12,228.85,216.31,204.46,193.25,182.66,172.66,163.2,154.25,145.8,137.81,130.26,123.12,116.38,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Retail_Shopping_Centre,kWh,,214.82,203.45,192.68,182.47,172.81,163.67,155,146.79,139.02,131.66,124.69,118.09,111.84,105.92,100.31,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Retail_Warehouse,kWh,,162.88,154.67,146.88,139.48,132.45,125.78,119.44,113.42,107.71,102.28,97.13,92.23,87.58,83.17,78.98,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75