PlaceholderPlaceholder (no brackets)Field Name (pretty label)Section RefSource FileRequiredDescription of Expected Content FallbackDependenciesWord count (min)Word count (max)Tone/StyleInstructions for GPTAllowed source: userAllowed source: GPT logicAllowed source: APIData TypeRetry on RejectNormalise CaseProvenence requiredNotesExamplesBenchmark Targets,,,,,,,,,,,,,,,,,,,,,,,
Placeholder,Placeholder (no brackets),Field Name (pretty label),Section Ref,Source File,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,
{{ address_line_1 }},address_line_1,Address,Header and Section 1,Report_field_guide.xlsx,Yes,First line of address,"None, mandatory",None,0,10,"Short, factual","Based on user input, GPT verified",No,No,Yes,String,Yes,Leading caps,No,,"""123 Oxford Street""",N/A,
{{ city }},city,Address,Header and Section 1,Report_field_guide.xlsx,Yes,"City, parsed from the address","None, mandatory",None,0,5,"Short, factual","Based on user input, GPT verified",No,No,Yes,String,Yes,Leading caps,No,,"""London""",N/A,
{{ post_code }},post_code,Address,Header and Section 1,Report_field_guide.xlsx,Yes,"Post code, parsed from the address","None, mandatory",None,0,10,UK post code format,"Based on user input, GPT verified",No,No,Yes,String,Yes,All caps,Yes,,"""W1S 2TQ""",N/A,
{{ image_main_1 }},image_main_1,Image,N/A,Report_field_guide.xlsx,Yes,"First image of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ image_main_2 }},image_main_2,Image,N/A,Report_field_guide.xlsx,Yes,"Second image of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ image_map }},image_map,Map,N/A,Report_field_guide.xlsx,Yes,"Map showing location of the building, as uploaded by the user","None, mandatory",Must be uploaded by user,0,10,N/A,"User upload in session, as per system instructions",Yes,No,No,base64,Yes,N/A,No,"System-inserted image placeholder using InlineImage. Must be an image, in either JPEG or PNG format.  Must be in square format.",N/A,N/A,
{{ uprn }},uprn,UPRN,1,Report_field_guide.xlsx,Yes,Unique Property Reference Number from OS Places - the definitive identifier for the property,Insert 'Data unavailable or inconclusive',None,1,15,"Short, factual","Get from OS Places API via Val ""pipe-address""",No,No,Yes,String,No,N/A,Yes,Primary key for property lookups,100022934143 ,N/A,
{{ lsoa_code }},lsoa_code,LSOA Code,1,SQL database,Yes,Lower Layer Super Output Area code for ONS statistical geography and IMD lookup,post_code,Must have post_code first,1,3,N/A - system field,"Get from LSOA (ONS statistical geography) API via Val ""pipe-address""",No,No,Yes,String,No,All caps,Yes,Must be 9 characters: E followed by 8 digits. Used for IMD deprivation lookup.,E01032739,N/A,
{{ lsoa_name }},lsoa_name,LSOA Name,1,SQL database,Yes,Lower Layer Super Output Area name - human readable area identifier,lsoa_code,Must have post_code first,1,10,N/A - system field,"Get from LSOA (ONS statistical geography) API via Val ""pipe-address""",No,No,Yes,String,No,Yes,Yes,Free text name assigned by ONS. Typically format: Area Name + 3-digit code + letter.,City of London 001F,N/A,
{{ latitude }},latitude,Latitude,1,Report_field_guide.xlsx,No,Latitude coordinate of the property (WGS84),Insert 'Data unavailable or inconclusive',uprn,1,15,"Short, factual",Get from OS Places API,No,No,Yes,Number,No,N/A,No,Used for mapping and location services,51.5133378,N/A,
{{ longitude }},longitude,Longitude,1,Report_field_guide.xlsx,No,Longitude coordinate of the property (WGS84),Insert 'Data unavailable or inconclusive',uprn,1,15,"Short, factual",Get from OS Places API,No,No,Yes,Number,No,N/A,No,Used for mapping and location services,-0.0910789,N/A,
{{ date }},date,None,1,Report_field_guide.xlsx,Yes,Today's date.  Enter the date of this analysis and nothing else,"None, mandatory",None,0,5,"Short, factual",Use today's date,No,Yes,No,Date,Yes,N/A,No,,"""1 Jan 2025""",N/A,
{{ use_class }},use_class,Use Class,1,Report_field_guide.xlsx,Yes,"Building uses, e.g., office, retail, residential.  Include all uses ","None, mandatory",None,1,50,"Short, factual","Get from EPC, brochure, or internet search ",No,Yes,Yes,String,Yes,Leading caps,Yes,Mention all use types ,"""office"" or ""office, retail"", ""residenital""",N/A,
{{ gia }},gia,Area (GIA sq ft) ,1,Report_field_guide.xlsx,Yes,"Gross internal area of the building, in square feet.  If GIA not available, use NIA / 0.75.  ",Insert 'Data unavailable or inconclusive',"If not availabel, need {{ nia }} to calculate {{ gia }}",1,5,Number,"Get from EPC, brochure, internet search ",No,Yes,Yes,Number,Yes,N/A,Yes,,"""100,000 sq ft GIA""",N/A,
{{ nia }},nia,Area (NIA sq ft) ,1,Report_field_guide.xlsx,Yes,"Net internal area of the building, in square feet.  If NIA not available, use GIA * 0.75. ",Insert 'Data unavailable or inconclusive',"If not availabel, need {{ gia }} to calculate {{ nia }}",1,5,Number,"Get from EPC, brochure, internet search ",No,Yes,Yes,Number,Yes,N/A,Yes,,"""75,000 sq ft NIA""",N/A,
{{ tenure }},tenure,Tenure,1,Report_field_guide.xlsx,No,Ownership tenure,Insert 'Data unavailable or inconclusive',None,1,5,"Short, factual","Get from API search, or brochure",Yes,No,Yes,"Freehold, Leashold, not known",Yes,Leading caps,Yes,,"""Freehold""",N/A,
{{ const_date }},const_date,Construction Date,1,Report_field_guide.xlsx,Yes,"Year built, and if applicable, year of last major refurbishment",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Analyse EPC or brochure. Preference for EPC,No,Yes,Yes,Number (year),Yes,N/A,Yes,,"""1999""",N/A,
{{ refurb_date }},const_date,Construction Date,1,Report_field_guide.xlsx,Yes,"Year built, and if applicable, year of last major refurbishment",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Analyse EPC or brochure. Preference for EPC,No,Yes,Yes,Number (year),Yes,N/A,Yes,,"""2020""",N/A,
{{ refurb_history }},refurb_history,Refurbishment History,1,Report_field_guide.xlsx,Yes,"Past upgrades, by year, scope, and outcome",Insert 'Data unavailable or inconclusive',None,25,200,"Chronological summary, expository",Analyse EPC or brochure. Preference for EPC,No,Yes,Yes,String,Yes,Initial caps,Yes,Note works post-2010 or to HVAC/BMS in detail,,LETI Retrofit Benchmarks,
{{ listed_status }},listed_status,Listed Status,1,Report_field_guide.xlsx,Yes,"Heritage status (e.g., Grade II listed).  Include whether locally listed.  Include details if in a conservation zone",Insert 'Data unavailable or inconclusive',None,1,20,"Concise, formal","Brochure, Historic England, Planning Portal, Internet. Follow instructions in PIPE.PROCESS.PLANNING",No,Yes,Yes,String,Yes,Initial caps,Yes,Include proximity to any Grade II/II* assets,,Historic England Compliance,
{{ long_bldg_descr }},long_bldg_descr,Long-Form Building Description,2,Report_field_guide.xlsx,Yes,"Summary of building form, number of floors, typical floorplate size, layout, fabric, entrances, façade type, etc.","None, mandatory",None,75,200,"Descriptive, factual, expository","Brochure, satellite, facade images",No,Yes,No,String,Yes,Initial caps,No,"Include dates, use class, listing context",,"LETI, BBP",
{{ long_bldg_system_summary }},long_bldg_system_summary,Long-Form Building Systems Summary,3,Report_field_guide.xlsx,Yes,"Summary level information about HVAC type, cooling/heating, ventilation, lifts, controls","None, mandatory",None,75,200,Engineering tone,"Get from EPC, brochure, or internet search ",No,Yes,No,String,Yes,Initial caps,No,Mention plant location (roof/basement),,"CIBSE TM54, NABERS",
{{ epc_date }},epc_date,Date of last EPC,5,Report_field_guide.xlsx,Yes,Date of the EPCs used in completing {EPC_rating}.  Include certificate number,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.ANALYSIS.EPC.001,No,Yes,Yes,Date,Yes,N/A,Yes,,"""1 January 2020. Certificate number 1234-5678-9101-1121""",N/A,
{{ epc_co2_emissions }},epc_co2_emissions,Annual CO₂ Emissions,5,Report_field_guide.xlsx,Yes,Building Emission Rate (in kgCO₂/m²/year) and Primary Energy Use aka EUI (in kWh/m²/year),Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.ANALYSIS.EPC.001,No,Yes,Yes,String,Yes,N/A,Yes,,"""Building Emission Rate: 43.21 kgCO₂/m²/year.  Primary Energy Use (EUI): 253 kWh/m²/year""",EUI < 55 kWh/m²/year,
{{ epc_letter }},epc_letter,Latest EPC letter,5,Report_field_guide.xlsx,Yes,Letter only of the current EPC rating,"None, mandatory",None,1,1,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.PROCESS.SYSTEMS,No,Yes,Yes,"A, B, C, D, E, F, G",Yes,N/A,Yes,,"""B""",N/A,
{{ epc_number }},epc_number,Latest EPC number,5,Report_field_guide.xlsx,Yes,Number only of the current EPC rating,"None, mandatory","Must be after {{ epc_letter }}, {{ epc_number }}",2,2,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.PROCESS.SYSTEMS,No,Yes,Yes,Number,Yes,N/A,Yes,,"""35""",N/A,
{{ epc_rating }},epc_rating,Latest EPC Rating,5,Report_field_guide.xlsx,Yes,"Current EPC rating (letter and number) in the form B (35). If expired, say so. If ultiple EPCs, list all","None, mandatory",None,1,10,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.PROCESS.SYSTEMS,No,Yes,Yes,String,Yes,Leading caps,Yes,Concatinate {{ epc_letter }} {{ epc_number }},"""B (35)""",N/A,
{{ epc_benchmark }},epc_benchmark,Benchmark,5,Report_field_guide.xlsx,Yes,"The  efficiency expected of a typical new build, which is a benchmark against which older properties can be compared",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Get from EPC certificate or API call to UK government website.  Follow insructions in PIPE.ANALYSIS.EPC.001,No,Yes,Yes,String,Yes,Leading caps,Yes,,"""B (35) - the efficiency expected of a typical new build""",N/A,
{{ epc_commentary }},epc_commentary,Commentary,5,Report_field_guide.xlsx,Yes,"Comments on the EPC. General insights, issues raised in recommnedation reports, comments on date of EPC and expiry",Insert 'Data unavailable or inconclusive',"Must be after {{ epc_rating }}, {{ epc_date }}, {{ epc_co2_emissions }}, {{ epc_benchmark }},  ",35,200,"Clear, factual, technical",GPT deep analysis and synthesis,No,Yes,Yes,String,Yes,Leading caps,Yes,,,N/A,
{{ epc_url }},epc_url,Source URL,5,Report_field_guide.xlsx,Yes,Give the exact weblink for the EPC that you have used ,Insert 'Data unavailable or inconclusive',None,1,10,Weblink,"EPC registry. Find on EPC certificate, or provide exact match via internet search.  Fallback present https://find-energy-certificate.service.gov.uk/find-a-non-domestic-certificate/search-by-postcode",No,Yes,Yes,String,Yes,Lower case,Yes,Weblink only,http://abc.defgh.co.uk,N/A,
{{ epc_main_heating_fuel }},epc_main_heating_fuel,Main Heating Fuel,5,Report_field_guide.xlsx,No,Primary heating fuel type for the building,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Get from EPC API,No,No,Yes,String,No,N/A,Yes,,Natural Gas,N/A,
{{ epc_renewable_sources }},epc_renewable_sources,Renewable Energy Sources,5,Report_field_guide.xlsx,No,"Renewable energy sources present (e.g., solar PV, heat pumps)",Insert 'Data unavailable or inconclusive',None,1,50,"Short, factual",Get from EPC API,No,No,Yes,String,No,N/A,Yes,,Solar PV panels,N/A,
{{ epc_uprn }},epc_uprn,EPC UPRN,5,Report_field_guide.xlsx,No,Unique Property Reference Number from EPC certificate (may differ from OS Places UPRN for multi-unit buildings),Insert 'Data unavailable or inconclusive',None,1,15,"Short, factual",Get from EPC API,No,No,Yes,String,No,N/A,Yes,UPRN from EPC may differ from OS Places UPRN,1.00012E+11,N/A,
{{ epc_postcode }},epc_postcode,EPC Postcode,5,Report_field_guide.xlsx,No,Postcode as recorded on the EPC certificate,Insert 'Data unavailable or inconclusive',None,1,10,UK post code format,Get from EPC API,No,No,Yes,String,No,All caps,Yes,For cross-validation with OS Places postcode,EC2R 8AH,N/A,
{{ epc_lmk_key }},epc_lmk_key,EPC Certificate Key,5,Report_field_guide.xlsx,No,Unique certificate identifier (lodgement key) used to construct the EPC URL,Insert 'Data unavailable or inconclusive',None,1,30,"Short, factual",Get from EPC API,No,No,Yes,String,No,N/A,Yes,Used to build epc_url,1234567890123456789012345678901234567890,N/A,
{{ epc_lodgement_datetime }},epc_lodgement_datetime,EPC Lodgement Datetime,5,Report_field_guide.xlsx,No,Full datetime when the EPC was lodged,Insert 'Data unavailable or inconclusive',None,1,25,"Short, factual",Get from EPC API,No,No,Yes,Datetime,No,N/A,Yes,More precise than epc_date,2024-01-15T14:30:00,N/A,
{{ epc_standard_emissions }},epc_standard_emissions,Standard Emissions,5,Report_field_guide.xlsx,No,Standard emissions benchmark (kgCO‚ÇÇ/m¬≤/year) - typical emissions for this building type,Insert 'Data unavailable or inconclusive',None,1,20,"Short, factual",Get from EPC API,No,No,Yes,String,No,N/A,Yes,Compare with epc_co2_emissions to assess performance,45.2 kgCO‚ÇÇ/m¬≤/year,EUI < 55 kWh/m¬≤/year,
{{ crrem_strand_year }},crrem_strand_year,Stranding Year,6,Report_field_guide.xlsx,Yes,"Year in which the Building becomes stranded, as per the CRREM definiton",Insert 'Data unavailable or inconclusive',None,1,10,"Clear, factual, technical","GPT deep analysis and synthesis, knowledge files, Companion_file, internet research. Follow insructions in PIPE.ANALYSIS.CRREM.001",No,Yes,No,String,Yes,N/A,Yes,,"""2029""",N/A,
{{ crrem_delta }},crrem_delta,CRREM Delta,6,Report_field_guide.xlsx,Yes,Delta  as per the CRREM guidelines,Insert 'Data unavailable or inconclusive',None,1,10,"Clear, factual, technical","GPT deep analysis and synthesis, knowledge files, Companion_file, internet research. Follow insructions in PIPE.ANALYSIS.CRREM.001",No,Yes,No,String,Yes,N/A,Yes,,"""200 kgCO2/m2""",N/A,
{{ crrem_VAR }},crrem_VAR,Carbon Value at Risk,6,Report_field_guide.xlsx,Yes,"Value at risk, calculated in line with CRREM guidelines",Insert 'Data unavailable or inconclusive',None,1,10,"Clear, factual, technical","GPT deep analysis and synthesis, knowledge files, Companion_file, internet research. Follow insructions in PIPE.ANALYSIS.CRREM.001",No,Yes,No,Currency,Yes,N/A,Yes,,"""£1,050,900""",N/A,
{{ crrem_comments }},crrem_comments,CRREM Assessment,6,Report_field_guide.xlsx,Yes,Describe the findings of the base CRREM analysis derived in PIPE.ANALYSIS.CRREM.003.  Mention the standing point.  Summarise all key assumptions.  State why this analysis is important,Insert 'Data unavailable or inconclusive',None,75,300,"Clear, factual, technical",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ crrem_adv_comments }},crrem_adv_comments,CRREM Assessment,6,Report_field_guide.xlsx,Yes,"Describe the findings of the advanced CRREM analysis derived in PIPE.ANALYSIS.CRREM.004. Go deep on the technical elements, expose all key calculations. State conlucsions",Insert 'Data unavailable or inconclusive',None,100,300,"Clear, factual, technical",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ crrem_chart }},crrem_chart,CRREM Assessment,6,Report_field_guide.xlsx,Yes,Insert JPG.  Follow rules in Companion_file.pdf,Insert 'Data unavailable or inconclusive',None,1,10,Image,GPT deep analysis and synthesis.  Follow insructions in PIPE.ANALYSIS.CRREM.001,No,Yes,No,base64,Yes,N/A,Yes,JPEG file only.  Should be rendered via InlineImage() in Python,N/A,N/A,
{{ ownership_date }},ownership_date,Since (date),7,Report_field_guide.xlsx,Yes,Date of the last sale of the property,Insert 'Data unavailable or inconclusive',None,1,10,Date,"Land registry, internet search. Follow insructions in PIPE.PROCESS.TITLE",No,Yes,Yes,Date,Yes,N/A,Yes,,"""1 January 2020""",N/A,
{{ ownership_name }},ownership_name,Current owner,7,Report_field_guide.xlsx,Yes,"Name of the current owner, include the full legal name of the company that owns the property",Insert 'Data unavailable or inconclusive',None,1,50,"Short, factual","Land registry, internet search. Follow insructions in PIPE.PROCESS.TITLE",No,Yes,Yes,String,Yes,Leading caps,Yes,,"""Acme Investment Company, Limited""",N/A,
{{ ownership_insights }},ownership_insights,Ownership & Transaction Insight,7,Report_field_guide.xlsx,Yes,"1) Provide detail on the owner, by doing internet research to describe who they are and what they do, and 2) summarise 10-20 yr ownership history",Insert 'Data unavailable or inconclusive',None,50,200,Chronological summary,"Land registry, brochure, internet search. Follow insructions in PIPE.PROCESS.TITLE",No,Yes,Yes,String,Yes,Initial caps,Yes,,,N/A,
{{ planning_history }},planning_history,Planning & Development History,8,Report_field_guide.xlsx,Yes,"Summarise the planning histoy including all major applications, what they were for, and whether approved or not.  Give planning reference numbers",Insert 'Data unavailable or inconclusive',None,75,200,Chronological summary,"Planning portal, brochure, internet search. Follow insructions in PIPE.PROCESS.PLANNING",No,Yes,Yes,String,Yes,Initial caps,Yes,"Incude planning references in parentheses eg, ""(ref 123/A/456)""",,N/A,
{{ occupier_mix }},occupier_mix,Occupier Mix & Leasing,9,Report_field_guide.xlsx,Yes,"For each major tenant, if available,state which floor they are on, how much rent they pay in £ per sq ft, and how many sq ft they occupy.  Include other lease terms like expiry date, and breaks.",Insert 'Data unavailable or inconclusive',None,50,200,"Clear, factual, expository","Brochure, land registry, Internet search, companies house data, ""yellow pages""",No,Yes,Yes,"Office, residenital, retail, industrial, mixed-use",Yes,Initial caps,Yes,"If available, list the top 5 specific occupier company names, sq ft occupied, floor occupied, and rent paid.",,N/A,
{{ cert_target_breeam }},cert_target_breeam,BREEAM,10,Report_field_guide.xlsx,Yes,"State the target rating (e.g., ""outstanding""), derived from you analysis and detailed assessment using the BRREAM scoring system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.BREEAM.001,No,Yes,No,"Outstanding, Excellent, Very Good, Good, no rating",Yes,All caps,No,,"""Outstanding """,Outstanding,
{{ cert_target_breeam_comments }},cert_target_breeam_comments,BREEAM,10,Report_field_guide.xlsx,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.BREEAM.001,No,Yes,No,String,Yes,Initial caps,No,,,N/A,
{{ cert_target_nabers }},cert_target_nabers,NABERS UK,10,Report_field_guide.xlsx,Yes,"State the target rating (e.g., ""5.0 stars""), derived from you analysis and detailed assessment using the NABERS  system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.NABERS.001,No,Yes,No,"5.5, 5.0, 4.5, 4.0, 3.5, no rating",Yes,N/A,No,,"""5.0""",5.0 stars,
{{ cert_target_nabers_comments }},cert_target_nabers_comments,NABERS UK,10,Report_field_guide.xlsx,Yes,"Detailed snalysis. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.NABERS.001,No,Yes,No,String,Yes,Initial caps,No,,,N/A,
{{ cert_target_well }},cert_target_well,WELL V2,10,Report_field_guide.xlsx,Yes,"State the target rating (e.g., ""platinum""), derived from you analysis and detailed assessment using the WELL V2 scoring system. ",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.WELL.001,No,Yes,No,"Platinum, Gold, Silver, no rating ",Yes,Leading caps,No,,"""Target Platinum""",Platinum,
{{ cert_target_well_comments }},cert_target_well_comments,WELL V2,10,Report_field_guide.xlsx,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.WELL.001,No,Yes,No,String,Yes,Initial caps,No,,,N/A,
{{ cert_target_EPC }},cert_target_EPC,EPC,10,Report_field_guide.xlsx,Yes,"State the target rating (e.g., ""A""), derived from you analysis and detailed assessment using  EPC assesment tools",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.EPC.001,No,Yes,No,"A, B, C, D, E, F, G",Yes,All caps,No,,"""Target A""",EPC A,
{{ cert_target_EPC_comments  }},cert_target_EPC_comments ,EPC,10,Report_field_guide.xlsx,Yes,"Detail on your assessment. What areas scored well, which did not.  Areas where confidence was low or high. Scope for better results",Insert 'Data unavailable or inconclusive',None,100,200,"Clear, factual, expository",GPT deep analysis and synthesis. Follow insructions in PIPE.ANALYSIS.EPC.001,No,Yes,No,String,Yes,Initial caps,No,,,N/A,
{{ renew_roof_area_total }},renew_roof_area_total,Roof Area (total) (sq m),11,Report_field_guide.xlsx,Yes,Estimate of the total area of the roof,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Brochure, land registry, Internet search, photos and satellite images",No,Yes,No,Number,Yes,N/A,No,,"""15,000 sq ft"" NOTE: must be larger than {{ Renew_roof_area_solar }}",N/A,
{{ renew_roof_area_solar }},renew_roof_area_solar,Roof Area (available) (sq m),11,Report_field_guide.xlsx,Yes,"Estimate of the roof space available for solar, takinging into account existing (and planned) plant locations, following guidelines in the Companion File",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Brochure, land registry, Internet search, photos and satellite images",No,Yes,No,String,Yes,N/A,No,,"""8,000 sq ft"" NOTE: must be less than {{ Renew_roof_area_total }}",N/A,
{{ renew_shading }},renew_shading,Shading,11,Report_field_guide.xlsx,Yes,"Commenary about the amount of shading, following guidelines in the Companion File",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Brochure, land registry, Internet search, photos and satellite images",No,Yes,No,String,Yes,N/A,No,,,N/A,
{{ renew_struct }},renew_struct,Structural Load,11,Report_field_guide.xlsx,Yes,Comments about the potential issues with roof loading,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Brochure, land registry, Internet search, photos and satellite images",No,Yes,No,String,Yes,Initial caps,No,,,N/A,
